author_name,degree,eigenvector,betweenness,closeness
"Mitchell, John Darby",0.0011,0.0,0.0,0.0016
"Cunningham, Robert K.",0.0011,0.0,0.0,0.0016
"Bittau, Andrea",0.0012,0.0,0.0,0.0012
"Erlingsson, Úlfar",0.0012,0.0,0.0,0.0012
"Mironov, Ilya",0.0012,0.0,0.0,0.0012
"Raghunathan, Ananth",0.0012,0.0,0.0,0.0012
"Rudominer, Mitch",0.0012,0.0,0.0,0.0012
"Kode, Ushasree",0.0012,0.0,0.0,0.0012
"Tinnés, Julien",0.0012,0.0,0.0,0.0012
"Seefeld, Bernhard",0.0012,0.0,0.0,0.0012
"Albericio, Jorge",0.0008,0.0,0.0,0.0011
"Delmas, Alberto",0.0008,0.0,0.0,0.0011
"Judd, Patrick",0.0008,0.0,0.0,0.0011
