author_name,degree,eigenvector,betweenness,closeness,npubs,hindex,hindex5y,i10index,i10index5y,citedby,as_pc_chair,as_pc,as_session_chair,as_panelist,as_keynote_speaker,as_author
"Lin, Haibin",0.0048,0.0001,0.0,0.12,1,1,1,0,0,9,0,0,0,0,0,1
"Sun, Qiao",0.0023,0.0,0.0,0.1055,,,,,,,0,0,0,0,0,1
"Li, Zhiwei",0.0028,0.0,0.0,0.0894,,,,,,,0,0,0,0,0,1
"Ni, Xiang",0.0014,0.0,1060.6707,0.0948,19,8,8,8,8,290,0,0,0,0,0,2
"Chen, Quan",0.002,0.0,13.0,0.076,23,10,10,10,10,1380,0,0,0,0,0,2
"Walter, Marie-Therese",0.0014,0.0,0.0,0.062,,,,,,,0,0,0,0,0,1
"Katz, Jonathan",0.0017,0.0,7014.0,0.0777,313,66,56,148,135,18384,0,1,0,0,0,3
"Kotalik, Justin",0.0014,0.0,0.0,0.1208,,,,,,,0,0,0,0,0,1
"Ciucu, Florin",0.0011,0.0,0.0,0.1216,76,16,14,23,21,867,0,2,0,0,0,1
"Ding, Boyan",0.0028,0.0,0.0,0.0894,,,,,,,0,0,0,0,0,1
"Jin, Yanqin",0.0009,0.0,0.0,0.1272,,,,,,,0,0,0,0,0,1
"Bai, Zilong",0.0011,0.0,0.0,0.074,4,2,2,0,0,11,0,0,0,0,0,1
"Kogias, Marios",0.0006,0.0,0.0,0.0771,,,,,,,0,0,0,0,0,1
"Hsieh, Cho-Jui",0.0017,0.0,14024.0,0.0961,64,24,23,30,29,8176,0,1,0,0,0,3
"Suchyta, Eric",0.0026,0.0,0.125,0.1063,102,23,23,44,44,1764,0,0,0,0,0,2
"Gong, Zhiguo",0.0011,0.0001,0.0,0.1032,,,,,,,0,0,0,0,0,1
"Liu, Jie",0.0023,0.0,2627.25,0.0991,,,,,,,0,0,0,0,0,1
"Beekman, Jethro G.",0.0014,0.0,0.0,0.1291,,,,,,,0,0,0,0,0,1
"Hao, Mingzhe",0.0026,0.0,3025.4413,0.1059,11,6,6,6,6,214,0,0,0,0,0,2
"Govindan, Sriram",0.0011,0.0,0.0,0.1204,44,14,14,19,19,1315,0,0,0,0,0,1
"Oral, Sarp",0.0037,0.0,78862.9889,0.1168,78,15,13,24,19,686,0,0,0,0,0,2
"Hanafy, Yasser Y.",0.0009,0.0006,0.0,0.0942,,,,,,,0,0,0,0,0,1
"Machovec, Dylan",0.0026,0.0,0.0,0.0924,,,,,,,0,0,0,0,0,1
"Parashar, Manish",0.006,0.0,85997.3129,0.1035,652,47,32,205,98,9575,0,4,1,0,0,4
"Bernstein, Philip A.",0.0037,0.0,10518.0,0.0914,252,74,38,171,89,34031,0,2,1,0,0,2
"Chen, Jianxi",0.0014,0.0,0.0,0.0826,,,,,,,0,0,0,0,0,1
"Maier, David",0.0009,0.0,0.0,0.0838,359,59,31,168,68,29601,0,0,0,0,0,1
"Li, Minming",0.0009,0.0,0.0,0.0761,,,,,,,0,1,0,0,0,1
"Moon, Sue",0.0014,0.0,0.0,0.105,138,36,28,60,49,15076,0,0,0,0,0,1
