author_id,author_name,author_email
1684480,"('Gopalan, Kartik', '@binghamton.edu')"
7314140,"('Bagdi, Hardik', '')"
2973015,"('Hu, Yaohui', '')"
30904419,"('Williams, Dan', '')"
2606437,"('Bila, Nilton', '@us.ibm.com')"
3359075,"('Lakew, Ewnetu Bayuh', '@cs.umu.se')"
1805880,"('Papadopoulos, Alessandro Vittorio', '@mdh.se')"
2753088,"('Maggio, Martina', '@control.lth.se')"
2748720,"('Klein, Cristian', '@cs.umu.se')"
1685517,"('Elmroth, Erik', '@cs.umu.se')"
1793260,"('Brevik, John', '@online.no')"
36319017,"('Chard, Ryan', '@anl.gov')"
3091414,"('Chard, Kyle', '@uchicago.edu')"
1693687,"('Acar, Umut A.', '@cs.cmu.edu')"
2595046,"('Ben-David, Naama', '@cs.cmu.edu')"
1847386,"('Rainey, Mike', '@inria.fr')"
2266873,"('Esfandiari, Hossein', '@cs.umd.edu')"
20437926,"('Kwon, Hyoukjun', '@gatech.edu')"
2526541,"('Krishna, Tushar', '@ece.gatech.edu')"
40264133,"('Das, Rajdeep', '')"
3758909,"('Gilbert, Seth', '@comp.nus.edu.sg')"
40157196,"('Ghoshal, Devarshi', '@indiana.edu')"
1792683,"('Ramakrishnan, Lavanya', '')"
1737715,"('Ballard, Grey', '@wfu.edu')"
1950072,"('Tang, Linpeng', '@sjtu.edu.cn')"
1708020,"('Huang, Qi', '@fb.com')"
39754100,"('Puntambekar, Amit', '')"
3295331,"('Vigfusson, Ymir', '@ru.is')"
2665531,"('Lloyd, Wyatt', '@cs.princeton.edu')"
39463614,"('Li, Kai', '@cs.princeton.edu')"
1961095,"('Ousterhout, Amy', '@mit.edu')"
21653817,"('Perry, Jonathan', '@mit.edu')"
1712771,"('Balakrishnan, Hari', '@csail.mit.edu')"
9759285,"('Lapukhov, Petr', '')"
2512621,"('Mao, Hongzi', '@mit.edu')"
2846332,"('Netravali, Ravi', '@mit.edu')"
2587719,"('Alizadeh, Mohammad', '@csail.mit.edu')"
34418171,"('Zheng, Zeyu', '')"
1704538,"('Xu, Shizhen', '')"
1727493,"('Dai, Wei', '@eng.ucsd.edu')"
